id,channel,dailyEntryId,receiptNumber,sellingTotal,buyingTotal,profit,paymentMethod,createdAt
cmjsdazks000djp04hhy1lnmy,marketing,cmjs6vguc000ljr04b9g398ko,"BETECH2025123085491",13000,0,13000,MPESA,2025-12-30T09:11:15.101Z
cmjsdndjz0013jp04b7wse8pi,marketing,cmjs6vguc000ljr04b9g398ko,"BETECH2025123009298",4500,0,4500,MPESA,2025-12-30T09:20:53.087Z
cmjse1gko0024jp04cqku8z00,marketing,cmjs6vguc000ljr04b9g398ko,"BETECH2025123018716",12500,0,12500,MPESA,2025-12-30T09:31:50.185Z
cmjsfhw2u003cjp04ohwgyyhx,marketing,cmjs6vguc000ljr04b9g398ko,"BETECH2025123075885",56999,0,56999,MPESA,2025-12-30T10:12:36.391Z
cmjsi5u36000pl104ow1g4z94,marketing,cmjs6vguc000ljr04b9g398ko,"BETECH2025123044581",80000,62400,17600,MPESA,2025-12-30T11:27:12.786Z
cmjsn4s1m000djx041nbibng5,marketing,cmjs6vguc000ljr04b9g398ko,"BETECH2025123017931",20000,0,20000,MPESA,2025-12-30T13:46:21.562Z
cmjsow718000die0404c5bmsv,marketing,cmjs6vguc000ljr04b9g398ko,"BETECH2025123060673",92600,0,92600,MPESA,2025-12-30T14:35:40.316Z
cmjts45s6000sjg04u94h0vzv,marketing,cmjts45rt000qjg04js6czia4,"BETECH2025123153488",52200,0,52200,MPESA,2025-12-31T08:53:36.966Z
cmjts6dsc001tjg04oxcqpd9q,marketing,cmjts45rt000qjg04js6czia4,"BETECH2025123173733",300,0,300,MPESA,2025-12-31T08:55:20.652Z
cmjtu19wv000die04v4fjc2gf,marketing,cmjts45rt000qjg04js6czia4,"BETECH2025123199213",70000,0,70000,MPESA,2025-12-31T09:47:21.583Z
cmjtw9hdm0012ie04n621kjiu,marketing,cmjts45rt000qjg04js6czia4,"BETECH2025123177007",5500,0,5500,MPESA,2025-12-31T10:49:43.738Z
cmju2gvl4000jjs04x2yv3xy0,marketing,cmjts45rt000qjg04js6czia4,"BETECH2025123128517",42000,0,42000,MPESA,2025-12-31T13:43:26.440Z
cmju3rj6n001hjs040tce1mie,marketing,cmjts45rt000qjg04js6czia4,"BETECH2025123182012",40200,0,40200,MPESA,2025-12-31T14:19:43.199Z
cmjwvv99c000hl4049mjehuza,marketing,cmjwvv995000fl4041l702hp2,"BETECH2026010281745",4500,0,4500,CASH,2026-01-02T13:01:58.560Z
cmjwwveu1000dl504s7r47v4n,marketing,cmjwvv995000fl4041l702hp2,"BETECH2026010208519",3000,0,3000,MPESA,2026-01-02T13:30:05.401Z
cmjwx3pbp0012l504ij0qgpwd,marketing,cmjwvv995000fl4041l702hp2,"BETECH2026010233902",19500,0,19500,MPESA,2026-01-02T13:36:32.245Z
cmjxweyxo000gkz04d5rkauf5,marketing,cmjxweyxb000ekz04k5hz4z8l,"BETECH2026010331515",200,0,200,MPESA,2026-01-03T06:05:04.476Z
cmjxxbgx1001bkz040kx0wtqf,marketing,cmjxweyxb000ekz04k5hz4z8l,"BETECH2026010325336",14000,0,14000,MPESA,2026-01-03T06:30:20.774Z
cmjy1gvdx000ijz04uwcdaemz,marketing,cmjxweyxb000ekz04k5hz4z8l,"BETECH2026010343187",20500,0,20500,MPESA,2026-01-03T08:26:31.269Z
