id,sku,name,sellingPrice,createdAt
cmjh0y4bx0000jz04fyytl96i,"manual-mjh0y4bw-hxvzl4","3.84 kWh Lithium Battery (12.8V, 300Ah)",49000,2025-12-22T10:39:51.405Z
cmjgymwea0000kz04vi2r3ltc,"manual-mjgymwe9-m2cdc5","200W Floodlight",4500,2025-12-22T09:35:08.674Z
cmjgwh40g0003l704fh5jy325,"manual-mjgwh40g-n9uj1n","Test 5",550,2025-12-22T08:34:39.377Z
cmjgwh4090002l7046m3bdqvu,"manual-mjgwh409-9kpurp","Test 4",400,2025-12-22T08:34:39.370Z
cmjgwh3zz0001l704fc5k2umx,"manual-mjgwh3zy-bmo5r0","Test 2",100,2025-12-22T08:34:39.359Z
cmjgwh3zr0000l704d2y2r3m1,"manual-mjgwh3zq-hff3vc","Test 1",200,2025-12-22T08:34:39.352Z
cmjgvta840004je048t46xxfi,"manual-mjgvta83-hte2ao","test5",6000,2025-12-22T08:16:07.684Z
cmjgvta7x0003je04fb6s7u40,"manual-mjgvta7w-gznm8a","test4",5000,2025-12-22T08:16:07.678Z
cmjgvta7q0002je04cd2oux6a,"manual-mjgvta7q-t8hww4","test3",4000,2025-12-22T08:16:07.670Z
cmjgvta7j0001je04sobnoqmk,"manual-mjgvta7i-fzo5oa","test2",4000,2025-12-22T08:16:07.663Z
cmjgvta780000je04aafnty9e,"manual-mjgvta78-mgaxw9","Test1",4000,2025-12-22T08:16:07.653Z
cmjgvij6o0002ky04w5j7eurq,"manual-mjgvij6o-mw36rn","Full set 4",300,2025-12-22T08:07:46.080Z
cmjgvij6h0001ky04idq84lro,"manual-mjgvij6h-bt6tbn","Full set 3",2500,2025-12-22T08:07:46.073Z
cmjgvij670000ky04feu3eb4u,"manual-mjgvij67-6ibdny","Full set 1",4000,2025-12-22T08:07:46.064Z
cmjgv1j5m0001l404i37c9mb4,"manual-mjgv1j5m-1p1pv2","Full kit 2",600,2025-12-22T07:54:32.891Z
cmjgv1j5h0000l404bylzxb0a,"manual-mjgv1j5g-kli385","Full kit 1",500,2025-12-22T07:54:32.885Z
cmjgqui4v0000l404wajhxfh4,"manual-mjgqui4v-jkhplu","Solar set",500,2025-12-22T05:57:06.512Z
cmjgp16qg0001jr04x2dar618,"manual-mjgp16qg-q5pkvv","500 set",500,2025-12-22T05:06:19.097Z
cmjgp16q60000jr04wz3org38,"manual-mjgp16q5-ot00yk","full set",1000,2025-12-22T05:06:19.087Z
cmjgn6axw0001jm04oy9jr2fg,"manual-mjgn6axv-kwg5jy","FULL TEST 2",100,2025-12-22T04:14:18.596Z
cmjgn6axq0000jm047or15k26,"manual-mjgn6axp-lz3fa8","FULL TEST",200,2025-12-22T04:14:18.590Z
cmjg67gmg0000l804o61ielio,"manual-mjg67gmf-bnsee5","gffdgg",4000,2025-12-21T20:19:19.145Z
cmjg5lp2i0000le04ogj9uipj,"manual-mjg5lp2h-0izgoh","1000 guld",10000,2025-12-21T20:02:23.658Z
cmjg5gpfm0000jr04qae1b43z,"manual-mjg5gpfl-kd4cdy","200AH",25000,2025-12-21T19:58:30.851Z
cmjfzybw90000l2040vcjygje,"manual-mjfzybw8-snquc9","Full set 2",1000,2025-12-21T17:24:15.417Z
cmjfy55mi0000js04t2ysj1ij,"manual-mjfy55mh-pou6t4","Jackson Kioko",1000,2025-12-21T16:33:34.650Z
cmjfwmlwi0000l704atl6m6a8,"manual-mjfwmlwh-fdea4f","Test 3",15000,2025-12-21T15:51:09.666Z
cmjfw1mbw000old04jgldh312,"manual-mjfw1mbw-4rztgi","Test300",10,2025-12-21T15:34:50.445Z
cmjfw02j50000ld04dv8ogu8n,"manual-mjfw02j5-fa8zcz","test500",450,2025-12-21T15:33:38.130Z
cmjftqf340000ld053v6n959a,"manual-mjftqf33-or6gml","full kitt",500,2025-12-21T14:30:08.608Z
cmjfpacsi0000jm04vwlplyv9,"manual-mjfpacsh-0uk2a3","full it",500,2025-12-21T12:25:40.675Z
cmjfop4qc0000jr045cuts0fq,"manual-mjfop4qc-80whw3","test20",100,2025-12-21T12:09:10.453Z
cmjfntrii0000l904t5s9nnt4,"manual-mjfntrih-zgd3sl","full kiy",1000,2025-12-21T11:44:46.986Z
cmjflh9d7000oji04j641pwbm,"manual-mjflh9d7-9id4vo","Test10",8000,2025-12-21T10:39:04.364Z
cmjfl7kww0000ji043ue3ldgl,"manual-mjfl7kwv-qs746d","Test",25000,2025-12-21T10:31:32.768Z
cmjfk8qwx0000l204fwsb39m5,"manual-mjfk8qww-u43ay7","All full kit",35000,2025-12-21T10:04:27.585Z
cmjepd2l70000js047srllcii,"manual-mjepd2l6-m4c6k9","fullset",13000,2025-12-20T19:40:01.243Z
cmjee21nf0000jr04nytp4fzx,"manual-mjee21ne-q40e23","100W Solar Panel, 80Ah Battery, 300W Inverter, 10A Controller, 5 DC Bulbs, 10m Cable, 24"" TV",20500,2025-12-20T14:23:31.035Z
cmjed95mb000uic040cbw6ig8,"manual-mjed95mb-qab4lw","Solarmax 32"" Smart Digital TV",13000,2025-12-20T14:01:03.156Z
cmjed7t9t0000ic04ygyxppd4,"manual-mjed7t9t-b3kgfd","300W Solar Kit: 300W Panel, 200AH Battery, 30A Controller, 5 DC Bulbs, 10m Cable, 100W Inverter",38999,2025-12-20T14:00:00.498Z
cmjecxvle0000ld04lrcl49cj,"manual-mjecxvld-2ur8yk","150W Solar Kit: 150W Panel, 100AH Battery, 30A Controller, 600W Inverter, 5 DC Bulbs, 10M Cable",19999,2025-12-20T13:52:16.946Z
cmjecqldi005vl804fwxzbyt7,"manual-mjecqldh-27hbuu","4 Pairs MC4 Connectors",1600,2025-12-20T13:46:37.110Z
cmjecqldd005ul804qgpwlblg,"manual-mjecqldc-jhq6e1","Plug",500,2025-12-20T13:46:37.105Z
cmjecqld7005tl80400ys3gj8,"manual-mjecqld6-whq8qn","4MM Cable",2600,2025-12-20T13:46:37.099Z
cmjecqld0005sl804strvx5rz,"manual-mjecqlcz-60c73m","Pullman 3kWh Powerstation",90000,2025-12-20T13:46:37.092Z
cmjecnmab004yl804jbwyr3or,"manual-mjecnmab-6wxnew","Solarmax 22"" Digital TV",5000,2025-12-20T13:44:18.324Z
cmjecnma5004xl804ub4iu3ls,"manual-mjecnma5-vghmir","Hithium HeroEE1 Lithium Power Station",30000,2025-12-20T13:44:18.318Z
cmjecl98y0049l804y84exgnx,"manual-mjecl98x-4gxop2","Solarmax 22"" Digital TV with Aerial",8000,2025-12-20T13:42:28.114Z
cmjeci2xk003ll8040mjfq6g1,"manual-mjeci2xj-gjqcgr","Solarmax 585W All Weather Monocrystalline",9000,2025-12-20T13:39:59.960Z
cmjeca19z001pl804zs064o5g,"manual-mjeca19y-4xg76j","250W Solar Kit: Solarmax Panel, 150AH Battery, 600W Inverter, 20A Controller, 5 DC Bulbs, 10M Cable",27500,2025-12-20T13:33:44.567Z
cmjec4uw1000pl8041205jyn2,"manual-mjec4uw1-bt0sdo","4MM PV Cable",3400,2025-12-20T13:29:43.009Z
cmjec4uvt000ol8048cpf021i,"manual-mjec4uvt-36bzpe","Solarmax 300W 18V Solar Panel",9000,2025-12-20T13:29:43.002Z
cmjec4uvj000nl804ylwc26z2,"manual-mjec4uvi-tvck9o","Hithium 1KW Lithium Power Station",34000,2025-12-20T13:29:42.991Z
cmje9qf7g0000kz04vgcjrhmh,"manual-mje9qf7g-4k3ew9","100W Solar Full Kit: 100W Panel, 20A Controller, 10m Cable, 5 DC Bulbs, 300W Inverter",13500,2025-12-20T12:22:30.269Z
cmje9ayzv0000jp04r8ro0g5m,"manual-mje9ayzv-clpqa5","Full kitr",3000,2025-12-20T12:10:29.420Z
cmje7s8v80000l2049a6gdtsw,"manual-mje7s8v8-omsupj","Extension Cord",250,2025-12-20T11:27:56.133Z
cmje7fs0r0000l204w0fx63bc,"manual-mje7fs0q-34k9ta","150W Solar Kit: 150W Panel, 20A Controller, 10m Cable, 5 DC Bulbs, 600W Inverter, 100Ah Battery",20000,2025-12-20T11:18:14.427Z
cmje5moli0015lg047fgdfgdz,"manual-mje5moli-ovp0wh","5 DC Bulbs",50,2025-12-20T10:27:37.350Z
cmje5molc0014lg04db1041c5,"manual-mje5molc-cz7mvj","250W Solar Kit: Solarmax 250W Panel, 150AH Battery, 600W Inverter, 20A Controller, 5 DC Bulbs, 10M Cable",27500,2025-12-20T10:27:37.344Z
cmje2rsaq0000lg04c9uxponc,"manual-mje2rsap-vwc92k","100Ah Battery, 300W Inverter, 10A Controller, 5 DC Bulbs, 10m Cable",11500,2025-12-20T09:07:36.578Z
cmje2nn9m0000l804vcat6hhc,"manual-mje2nn9l-a81gr5","100Ah Gel Battery",11500,2025-12-20T09:04:23.434Z
cmje232nf0000la04c8ujgtjq,"manual-mje232ne-kv5h2k","Solar Floodlight",4500,2025-12-20T08:48:23.595Z
cmje1cc1l000vju04ohgxcajc,"manual-mje1cc1k-7i00la","350w solar panel",9499,2025-12-20T08:27:36.057Z
cmje16e6u0001ju04zdhuhaam,"manual-mje16e6t-6v4cfv","350W 36v Solar Panel",9500,2025-12-20T08:22:58.902Z
cmje16e6j0000ju04hi2cnpbz,"manual-mje16e6i-dgzgu0","2 x 50m Pump",17000,2025-12-20T08:22:58.891Z
cmjdzn1nn0000js04nkxzkzmr,"manual-mjdzn1nn-jo55pg","Full seet",18000,2025-12-20T07:39:56.580Z
cmjdzcsdt000ojy04m3s0roe5,"manual-mjdzcsds-u8091z","Powerstation",30001,2025-12-20T07:31:58.001Z
cmjdz8esm0000jy04bultrner,"manual-mjdz8esm-the2nr","Full set 100W",19999,2025-12-20T07:28:33.767Z
cmjdyccs30006l704n1evsbm4,"manual-mjdyccs2-nehcrm","1kVA Solarthorn Lithium Power Station",30000,2025-12-20T07:03:38.163Z
cmjdx4t5c0000lc04tq6wqlp2,"manual-mjdx4t5c-6r3ptq","Naiorbi cbd",13,2025-12-20T06:29:46.513Z
cmjdwtu1w000gjm04gx70rp6v,"manual-mjdwtu1v-teoq4s","Cable Connectors",3400,2025-12-20T06:21:14.468Z
cmjdwtu1r000fjm04tj39brst,"manual-mjdwtu1q-b699o6","Solarthon 1kW Energy Storage System",30000,2025-12-20T06:21:14.463Z
cmjdrisvg000ol404h8277gqr,"manual-mjdrisvg-3fqsya","Solar Full Kit",30000,2025-12-20T03:52:41.645Z
cmjdr6jlk0000l404h6j9oik0,"manual-mjdr6jlj-qvla3f","full kit",30000,2025-12-20T03:43:09.752Z
cmjdnmrsu0000l504qt2537z2,"manual-mjdnmrst-e6oqbv","Full Set",14000,2025-12-20T02:03:48.415Z
cmjd83krg0000lc04nbireqzu,"manual-mjd83krf-cio7vy","150W Full Kit",19999,2025-12-19T18:48:58.588Z
cmjd7asmv0000kw04tfhzzqns,"manual-mjd7asmu-a47sbz","Fukk kitt",5999,2025-12-19T18:26:35.767Z
cmjd6o3tx0000k104id06t5w6,"manual-mjd6o3tw-020s8l","Full Kiiit",30000,2025-12-19T18:08:57.189Z
cmjd2u8fj0000kw04uvos5915,"manual-mjd2u8fi-7vgjwb","Trial set",30000,2025-12-19T16:21:44.624Z
cmjd2hw6y0000i5046kgdwzgz,"manual-mjd2hw6x-wx22ky","Full kitt",30000,2025-12-19T16:12:08.890Z
cmjczkysr0003jo04peftc2vf,"manual-mjczkysq-na8ee3","5DC BULBS",359,2025-12-19T14:50:33.387Z
cmjczkysn0002jo04usktknrp,"manual-mjczkysn-pybutb","Meter Gauge",2500,2025-12-19T14:50:33.384Z
cmjczkysk0001jo04ajqfr584,"manual-mjczkysj-i9b18z","Cables with connectors",3400,2025-12-19T14:50:33.380Z
cmjczkysd0000jo04ro4tvxkv,"manual-mjczkysc-d6uext","1 kW Solarthon Power Station",30000,2025-12-19T14:50:33.373Z
cmjcyxcdr0027ky04c7vz1o05,"manual-mjcyxcdq-ijt1iq","4 DC Bulbs",280,2025-12-19T14:32:11.247Z
cmjcyk3jr000oky04m2yf4rhy,"manual-mjcyk3jr-v9eljy","100Ah SolarMax Gel Battery",14000,2025-12-19T14:21:53.272Z
cmjcxazxm0000ky04o6x4gd22,"manual-mjcxazxl-fn4pt9","Full set",10000,2025-12-19T13:46:49.066Z
cmjcvf10a0000i604t859oih9,"manual-mjcvf109-jnabfz","Full kit 13000",145000,2025-12-19T12:53:57.850Z
cmjcriqio0000jo04myi0udoj,"manual-mjcriqio-n5j4fb","1kW Energy Bean Lithium Power Station",29999,2025-12-19T11:04:52.417Z
cmjckvsh80000la04dugtrvys,"manual-mjckvsh7-cqwe09","Full",19999,2025-12-19T07:59:04.173Z
cmjcj7gr90000l104ooaor8q5,"manual-mjcj7gr9-1vbddk","24"" TV",7500,2025-12-19T07:12:09.622Z
cmjcht3w60005jv04ktlo1gdh,"manual-mjcht3w6-wuu3qp","1kWh Lithium Power Station, 300W Solar Panel, 10m Drop Cable",42400,2025-12-19T06:33:00.151Z
cmjch9hwc0000lg043t3e5e85,"manual-mjch9hwb-tmmhc2","Solarthon 1 kW Energy Bean",30000,2025-12-19T06:17:45.180Z
cmjblufya000ii904jyvnobcf,"manual-mjblufy9-1rv8bq","10 x 300W Floodlights",43000,2025-12-18T15:38:14.722Z
cmjbls6980000i9041xe1l5hz,"manual-mjbls698-hgm7xd","1 kVA Solarthon Inverter Power Station",21000,2025-12-18T15:36:28.845Z
cmjblkczq0000k0046a6l8rbv,"manual-mjblkczq-gqsrb6","12V Water Pump",4499,2025-12-18T15:30:24.327Z
cmjblhg980000ih04ijenkq7d,"manual-mjblhg97-si2t3u","100W Solar Panel, 80Ah Battery, 300W Inverter, 10A Controller, 5 DC Bulbs, 10m Cable, 22"" TV, Aerial, Cable Clips",20150,2025-12-18T15:28:08.588Z
cmjbjrc910004k104saj20dy4,"manual-mjbjrc91-k346h9","5 Bulb Holders",350,2025-12-18T14:39:50.726Z
cmjbjllv90000l104igt94bjj,"manual-mjbjllv9-0oznok","50M Pump, 250W Solar, 1 Float Switch, 10M 4.0mm Dropping Cable, 2 Pairs Connectors",21400,2025-12-18T14:35:23.254Z
cmjbjc40i000ijx04rflk4cqp,"manual-mjbjc40i-ysr1og","CABLE LADS",100,2025-12-18T14:28:00.210Z
cmjbjc40a000hjx04e98rzru8,"manual-mjbjc40a-n71vdj","100AH BATTERY",10000,2025-12-18T14:28:00.203Z
cmjbj08g80004lg049bhrd5df,"manual-mjbj08g8-j4al1b","Gypsum screws, 1 box",150,2025-12-18T14:18:46.089Z
cmjbj08g50003lg04dtfb4o25,"manual-mjbj08g5-10sam8","3 x 5W LED Bulbs",210,2025-12-18T14:18:46.085Z
cmjbj08g10002lg046blmkez6,"manual-mjbj08g1-6vx112","1x 2-gang socket with patress, 2x 1-gang socket patresses",500,2025-12-18T14:18:46.081Z
cmjbj08fx0001lg045535g2rm,"manual-mjbj08fx-1r59l7","1x 4GAG switch with patress, 2x 1GAG switches with patress",700,2025-12-18T14:18:46.078Z
cmjbj08fr0000lg04v9myl1zq,"manual-mjbj08fr-19yvvy","300W Solar Panel, 200Ah Battery, 1000W Inverter, 30A Controller, 5 DC Bulbs, 10m Cable",39000,2025-12-18T14:18:46.072Z
cmjbbu4e80000la04q5xnzyk0,"manual-mjbbu4e8-elfqa4","200W Solar Full Kit: 200W Solar Panel, 600W Inverter, 10m Cable, 5 DC Bulbs, 100Ah Battery, 30A Controller",22000,2025-12-18T10:58:03.585Z
cmjbb88sm0000l704lkzvgyvo,"manual-mjbb88sl-la0wsx","100W Solar Panel, 80Ah Battery, 10A Controller, 5 DC Bulbs, 10m Cable",11200,2025-12-18T10:41:02.854Z
cmjba0vyn0002js04mdpojjcz,"manual-mjba0vym-nrnuni","300w solar panel",9000,2025-12-18T10:07:20.015Z
cmjba0vyf0001js04fb0ey3e7,"manual-mjba0vyf-38302t","cables with connectors",3400,2025-12-18T10:07:20.008Z
cmjba0vy50000js04p44upcme,"manual-mjba0vy4-7s3u2v","1kw solarthon energy storage system",30000,2025-12-18T10:07:19.997Z
cmjb9v3zj0000i3048szplp89,"manual-mjb9v3zj-jxwllc","Solarthon 1 kW Lithium Energy Storage Power Station",30000,2025-12-18T10:02:50.479Z
cmjb9ov5s0007lb04ar21vhbu,"manual-mjb9ov5s-gpktn7","1kW Energy Storage System, Cables & Connectors, 300W Solar Panel",30000,2025-12-18T09:57:59.105Z
cmjb9349q0000jl0424hu58py,"manual-mjb9349p-iaotox","1kW Energy Storage System, Cables with Connectors, 300W Solar Panel",38000,2025-12-18T09:41:04.478Z
cmjb8grza000ul204atx04gpz,"manual-mjb8grza-6i00km","Full et",12000,2025-12-18T09:23:42.119Z
cmja9a6my000hl20485go5ech,"manual-mja9a6mx-bet73n","Full Kit",13000,2025-12-17T16:58:47.962Z
cmja3g9ov000ilb045xx76niw,"manual-mja3g9ov-10mgr8","12V Pump with 200W Solar Panel",12000,2025-12-17T14:15:34.160Z
cmja38i7k0000lb04hbwaour9,"manual-mja38i7j-ukd7jz","150W Solar Kit",20000,2025-12-17T14:09:31.952Z
cmja356ir0000l404sei0tzp3,"manual-mja356iq-pp7278","100W solar kit, 80Ah battery, 300W inverter, 10A controller, 5 DC bulbs, 10m cable",13000,2025-12-17T14:06:56.835Z
cmja14za40001jm046uwjigmx,"manual-mja14za4-4q6h06","10m Red and 10m Black Cable",440,2025-12-17T13:10:48.221Z
cmja14z9w0000jm04qc6t4q8v,"manual-mja14z9v-x7fa2h","150w kit,100ah battery,600w inverter,30ah controller,5dc bulbs 10m cable",19999,2025-12-17T13:10:48.212Z
cmja0htcm0000k4042hnz5rae,"manual-mja0htcl-r3amsp","15m Booster Pump",5500,2025-12-17T12:52:47.446Z
cmja05ggj0000l604uc6tfavb,"manual-mja05ggi-v4qbqs","Full kit",13000,2025-12-17T12:43:10.867Z
cmj8lsa0l0000jx04899a8zca,"manual-mj8lsa0l-h5ik6o","585W Solar Panel",9000,2025-12-16T13:13:15.190Z
cmj8kwg4m0002kz04ega2opez,"manual-mj8kwg4m-7zsiyx","arial",500,2025-12-16T12:48:30.118Z
cmj8kwg4h0001kz04zz940aj5,"manual-mj8kwg4g-9hwhaj","43 "" tv",20000,2025-12-16T12:48:30.113Z
cmj8kwg4a0000kz04vxpk1y2v,"manual-mj8kwg49-0a0q2f","250w fullkit,150ah battery,600w inverter,30ah controller,5dc bulbs ,10m cable",27500,2025-12-16T12:48:30.106Z
cmj8k5gl30000jp048zpr966h,"manual-mj8k5gl2-tw30jl","Pullman 3kW Solar System: 2x 450W Panels, Cables with Connectors",114599,2025-12-16T12:27:30.999Z
cmj8jtmrr0002jy04eyl4x9dp,"manual-mj8jtmrr-xo4s1l","Woofer Speaker",3500,2025-12-16T12:18:19.144Z
cmj8jtmrk0001jy04jt607n3k,"manual-mj8jtmrj-qhjx3c","22"" TV",6500,2025-12-16T12:18:19.136Z
cmj8jtmr90000jy047thdu8tb,"manual-mj8jtmr8-hu9hce","100W Solar Full Kit: 100W Panel, 10m Cable, 10A Controller, 5 DC Bulbs, 300W Inverter",13000,2025-12-16T12:18:19.125Z
cmj8ibfbo0001l4041112mmb3,"manual-mj8ibfbo-d03y1m","26"" TV",7500,2025-12-16T11:36:10.069Z
cmj8ibfbe0000l404sfza3l85,"manual-mj8ibfbd-klsap4","200W solar kit with 100Ah battery, 30A controller, 5 DC bulbs, and 10m cable",19800,2025-12-16T11:36:10.059Z
cmj8gz28s0000jy04v755n33f,"manual-mj8gz28r-aid3ea","15 METERS WATER PUMP",4500,2025-12-16T10:58:33.628Z
cmj8gbywg0000jv04upargwv2,"manual-mj8gbywg-j2dha4","1kVA Solarthon Lithium Power Station",30000,2025-12-16T10:40:36.208Z
cmj8akpue0001l804eqjr0ejd,"manual-mj8akpud-iqkzcd","Delivery Fee",500,2025-12-16T07:59:26.678Z
cmj8akpu30000l8040b7yyvtn,"manual-mj8akpu3-b8cuma","150W full kit, 100Ah battery, 600W inverter, 20A controller, 5 DC bulbs, 10m cable",20000,2025-12-16T07:59:26.668Z
cmj88jawn0000l50433amgc83,"manual-mj88jawn-8xswz3","3 x 300W Solar Panels",21000,2025-12-16T07:02:21.432Z
cmj86xh670001l404iyiosvn1,"manual-mj86xh67-az2cmv","Solarmax 250W Solar Panel",8500,2025-12-16T06:17:23.504Z
cmj86xh5y0000l404gbzhjrrf,"manual-mj86xh5x-76plct","Starmax 100AH Solar Battery",10000,2025-12-16T06:17:23.494Z
cmj7aao8i000rjr04gfoyi4gr,"manual-mj7aao8i-mjmklk","1 kVA Energy Bean",29999,2025-12-15T15:03:51.859Z
cmj7a6o9o0004jr04sfxu0pwt,"manual-mj7a6o9o-xb68va","100w solar,300w inverter+10A controller",6800,2025-12-15T15:00:45.277Z
cmj7a0qvp0008jl041kgnx4rd,"manual-mj7a0qvp-jjjvuq","100W Solar Full Kit",13000,2025-12-15T14:56:08.726Z
cmj79uxfe000ijl0445ctu5co,"manual-mj79uxfe-xesp68","20m Solar Pump with 250W Panel",14000,2025-12-15T14:51:37.274Z
cmj79nvnc0000jl04c5j5ahhk,"manual-mj79nvnb-syrpqs","30A Controller, 150W Solar Panel, 12m 4.0mm Cable",8000,2025-12-15T14:46:08.376Z
cmj79au0v002ojv04pmgnr44i,"manual-mj79au0v-vb0xnx","100W Solar Kit",14000,2025-12-15T14:35:59.744Z
cmj793h7z0022jv04isv94v9g,"manual-mj793h7y-y73wa2","300w solar panel
200ah battery
1000w inverter
30a controller
5dc bulbs
10m cable",39000,2025-12-15T14:30:16.559Z
cmj792ym6001kjv04eqz807oy,"manual-mj792ym6-obubjh","300W Inverter",2500,2025-12-15T14:29:52.447Z
cmj7911x30012jv049z5wjvhq,"manual-mj7911x3-58heh1","1000W Inverter",6000,2025-12-15T14:28:23.416Z
cmj78zbt40000jv049n88h84a,"manual-mj78zbsz-ldvibv","100w solar panel
80ah battery
300w inverter
5dc bulbs
10m cable",12000,2025-12-15T14:27:02.916Z
cmj6tkwd80001jm04jk6emgmw,"manual-mj6tkwd8-zx73sz","Delivery fee",1000,2025-12-15T07:15:55.485Z
cmj6tkwd40000jm047zh8szn5,"manual-mj6tkwd3-31vxv0","100W Solar Panel, 80Ah Battery, 300W Inverter, 10A Controller, 5 DC Bulbs, 10m Cable",13000,2025-12-15T07:15:55.480Z
cmj4bb11d0000l704xrwoym64,"manual-mj4bb11d-bgwf0p","8m 4.0mm cable",1040,2025-12-13T13:08:49.538Z
cmj4b8ar5000ilc04cm6cieuu,"manual-mj4b8ar5-ph6tcq","585W Solar Panel, 2.56kWh Battery, 1.5kVA Inverter",71500,2025-12-13T13:06:42.161Z
cmj4b3h030000lc048e2kwbd2,"manual-mj4b3h02-jdfyu0","150W solar kit with 100Ah battery, 600W inverter, 20A controller, 10m cable, and 5 DC bulbs.",20000,2025-12-13T13:02:56.979Z
